Xvariable,Humans,Model
0.00,1.65,2.10
20.00,2.10,2.36
40.00,2.30,2.77
60.00,2.85,3.03
80.00,3.05,3.52
100.00,4.20,3.88
120.00,3.85,4.21
140.00,3.85,4.67
160.00,5.20,5.02
180.00,4.75,5.52
